,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
93,41a55af4-05aa-497e-a7e9-34fa5c235727,Nicolas E. Palacios,https://play-lh.googleusercontent.com/a-/ACB-R5T4XcXUA8kApIRX1MymtZuIs2ldFMTV-PyqzKh34Q,Excelente aplicación para el apoyo en el aprendizaje de lenguajes de programación,5,0,1.14.0,2021-04-09 01:56:17,,,1.14.0,es
96,0e02f8bc-cbf9-4104-a7e0-607298c2e92c,Deivid Carrillo,https://play-lh.googleusercontent.com/a/AGNmyxbD0eR1HJJh3QApYLxLkpx60NuJtvaLF7p9ekYM=mo,buenisimo,5,0,1.14.0,2021-03-25 10:07:57,,,1.14.0,es
98,5ef02a4b-6f05-4b47-9b43-41942e207ca9,sebastian suarez,https://play-lh.googleusercontent.com/a/AGNmyxb1fOTCqmma3v0A4JWPP9pa27Xvm2_bYNZcqJs9=mo,Es genial! aunque sería bueno poder configurarlo para español,5,0,1.14.0,2021-03-14 06:14:27,,,1.14.0,es
100,509abe9f-52c2-4852-9ccd-1b67537824d2,Sergio Vázquez,https://play-lh.googleusercontent.com/a-/ACB-R5TwKxF-Dw_HhsHPIawgjZUEV6ZdW_cKaI3ER-fq5Q,I love codecademy,5,1,1.14.0,2021-03-03 00:56:08,,,1.14.0,es
102,b2eb1ec5-62e2-40d8-9b15-7078dab58610,Zuleida Diaz,https://play-lh.googleusercontent.com/a/AGNmyxb9tTKcQm3RHaKsVIiqG_KW2jI0y2TsLolsG34=mo,"Me gusta mucho la aplicación es muy buena el único problema que tengo es que esta en ingles, claro que esta bien aprender nuevos idiomas pero eso le pone mas dificultad y ademas es molesto tener que ir al traductor a cada rato para saber lo que significa cada palabra por lo que me gustaría que hubiera una opción para cambiar el idioma, lo agradecería mucho",4,28,1.14.0,2021-02-26 01:13:12,,,1.14.0,es
103,b24cf72e-4d7b-4994-bdfc-f5c831be74af,Tio Pelayo,https://play-lh.googleusercontent.com/a/AGNmyxYfsx0oSQwmjx1p4I1ct56MJCNhXqAgRlxuUOPc=mo,"Muy excelente para practicar y desarrollar habilidades, muy recomendable",5,0,1.14.0,2021-02-23 04:20:55,,,1.14.0,es
104,8f392af2-cc40-4291-a56a-89ce6e68b9f8,Mateo Varela,https://play-lh.googleusercontent.com/a-/ACB-R5TT0omjQiGd4zOuqrOEHhABnAGdlLl2GchUHr8c_ck,Una genialidad,5,0,1.14.0,2021-02-22 14:15:26,,,1.14.0,es
105,b339278e-210c-4f0b-bd71-a6826c3487f5,Gonzalo,https://play-lh.googleusercontent.com/a-/ACB-R5SquufdNYI74Rz_chQlsQBM9Ff8HEYp6bCBMd2DXg,ta weno xd,5,0,1.14.0,2021-02-21 12:08:39,,,1.14.0,es
106,3a6636b0-32e0-4ee6-8469-ffc37b91adeb,Ariel Alvarez,https://play-lh.googleusercontent.com/a-/ACB-R5RJTbgexgqqcuIjMJRGpQAXnHcLrlinvBn4xJYVpQ,buena opción para aprender lenguajes nuevos y practicar ingles,5,0,1.14.0,2021-02-16 14:39:57,,,1.14.0,es
108,e41d4b1d-d560-4d20-aa90-34aa24cf2c48,Centrista Alvarado,https://play-lh.googleusercontent.com/a-/ACB-R5Sw0ydC493u5fHADzbfjqz-Bi-NbtZmOintGYrGMRE,Está excelentenesta app... no encuentro para nada malo que sea en inglés ya que en el medio en el cual se desarrolla está en su gran mayoría en inglés y te hace practicarlo. Además de poder estudiar en una tablet o en el móvil es una mega ventaja.,5,16,1.14.0,2021-02-03 14:23:25,,,1.14.0,es
109,a239f4d0-82bf-4669-85e1-c890062a9e2c,Lucia Vicuña,https://play-lh.googleusercontent.com/a-/ACB-R5Qx9MIY5gcvepZBO6-jyrzxw64DcDbBrr1O3-3zrA,"Excelente aplicación, ideal para reforzar lo aprendido, además el diseño de interfaz y la experiencia de usuario es óptima, la recomiendo.",5,3,1.14.0,2021-02-02 03:08:11,,,1.14.0,es
111,c6dbd89f-c15b-43fd-98cb-f49773d935e3,Inago table,https://play-lh.googleusercontent.com/a-/ACB-R5QUqOq3PkuDGtU2vMTb41D25kFg0Yrc-R2Rl3Ocbw,too cool,5,0,1.14.0,2021-01-25 14:44:23,,,1.14.0,es
112,beeaf2fb-c768-4f0f-9f71-6bc7055a2f7b,Alexis Mora,https://play-lh.googleusercontent.com/a-/ACB-R5TfzKj9upUgHxtHpKz9HaEW1VPMISOfJoZJBtA93Q,Increíble aplicación.,5,0,1.14.0,2021-01-22 06:24:06,,,1.14.0,es
113,138264a5-55cd-4fa8-93ae-e7625f116d46,Daniel Alonso,https://play-lh.googleusercontent.com/a/AGNmyxaHkXDVz4Knn_NK6zRF6hD9rwgNp-XygE1K8Axn=mo,"Los primeros 5 minutos, bien",4,0,1.14.0,2021-01-16 18:55:40,,,1.14.0,es
115,579f16c8-5e84-4600-b9b4-ef2067497c1c,César Jiménez,https://play-lh.googleusercontent.com/a/AGNmyxZPe8t1UAtCuroegm98CEVywEJKnEfo48nLNiHgKqk=mo,Funciona,5,0,1.14.0,2021-01-04 01:36:05,,,1.14.0,es
117,0d3bea48-ebf7-4fa9-8d01-31a8d3490b5f,JCervants,https://play-lh.googleusercontent.com/a-/ACB-R5RxBeFPtxOXuHIDY0iVVO8EYMrweGiDqbhT1jbtVQ,me parece que podría implementar más lenguajes de programación,3,2,1.14.0,2020-12-31 21:01:20,,,1.14.0,es
119,6dc666ef-120b-41ec-82c4-7be30b54e854,mark anthonny gutierrez,https://play-lh.googleusercontent.com/a/AGNmyxaZHQ5WfO9rjhSdPRsqC9cfijDiaZZ1pcNL3jPD=mo,buenisimo,5,0,1.14.0,2020-12-28 10:46:58,,,1.14.0,es
